Tarih,Etkilenen sayfa sayısı
2026-01-27,1172929
2026-01-28,1176326
2026-01-29,1176326
2026-01-30,1176326
2026-01-31,1176326
2026-02-01,1179220
2026-02-02,1179220
2026-02-03,1179220
2026-02-04,1210985
2026-02-05,1210985
2026-02-06,1210985
2026-02-07,1210985
2026-02-08,1226610
2026-02-09,1226610
2026-02-10,1226610
2026-02-11,1233171
2026-02-12,1233171
2026-02-13,1233171
2026-02-14,1233171
2026-02-15,1236557
2026-02-16,1236557
2026-02-17,1236557
2026-02-18,1242016
2026-02-19,1242016
2026-02-20,1242016
2026-02-21,1242016
2026-02-22,1245053
2026-02-23,1245053
2026-02-24,1245053
2026-02-25,1260929
2026-02-26,1260929
2026-02-27,1260929
2026-02-28,1260929
2026-03-01,1260929
2026-03-02,1260929
2026-03-03,1260929
2026-03-04,1268463
2026-03-05,1268463
2026-03-06,1268463
2026-03-07,1268463
2026-03-08,1275185
2026-03-09,1275185
2026-03-10,1275185
2026-03-11,1309550
2026-03-12,1309550
2026-03-13,1309550
2026-03-14,1309550
2026-03-15,1309550
2026-03-16,1317398
2026-03-17,1317398
2026-03-18,1330148
2026-03-19,1330148
2026-03-20,1330148
2026-03-21,1330148
2026-03-22,1333999
2026-03-23,1333999
2026-03-24,1333999
2026-03-25,1104651
2026-03-26,1104651
2026-03-27,1104651
2026-03-28,1104651
2026-03-29,1004814
2026-03-30,1004814
2026-03-31,1004814
2026-04-01,906650
2026-04-02,906650
2026-04-03,906650
2026-04-04,906650
2026-04-05,905888
2026-04-06,905888
2026-04-07,902333
2026-04-08,902333
2026-04-09,902333
2026-04-10,902333
2026-04-11,900331
2026-04-12,900331
2026-04-13,900331
2026-04-14,901066
2026-04-15,901066
2026-04-16,901066
2026-04-17,901066
2026-04-18,896190
2026-04-19,896190
2026-04-20,896190
2026-04-21,880810
2026-04-22,880810
2026-04-23,880810
2026-04-24,880810